date,time,home_team,away_team,score,format
2024-01-3114:00,14:00,成都AG超玩会,广州TTG,3:1,BO5
2024-01-3117:00,17:00,佛山DRG,XYG,3:1,BO5
2024-01-3120:00,20:00,武汉eStarPro,重庆狼队,0:3,BO5
2024-02-0114:00,14:00,西安WE,北京WB,2:3,BO5
2024-02-0117:00,17:00,杭州LGD.NBW,深圳DYG,3:1,BO5
2024-02-0120:00,20:00,济南RW侠,BOA,1:3,BO5
2024-02-0214:00,14:00,长沙TES.A,上海EDG.M,0:3,BO5
2024-02-0217:00,17:00,苏州KSG,上海RNG.M,3:2,BO5
2024-02-0220:00,20:00,成都AG超玩会,厦门VG,3:1,BO5
2024-02-0314:00,14:00,BOA,深圳DYG,3:1,BO5
2024-02-0317:00,17:00,杭州LGD.NBW,济南RW侠,2:3,BO5
2024-02-0320:00,20:00,XYG,北京WB,0:3,BO5
2024-02-0414:00,14:00,上海EDG.M,西安WE,3:0,BO5
2024-02-0417:00,17:00,南通Hero久竞,厦门VG,0:3,BO5
2024-02-0420:00,20:00,苏州KSG,广州TTG,0:3,BO5
2024-02-2114:00,14:00,厦门VG,上海RNG.M,3:0,BO5
2024-02-2117:00,17:00,杭州LGD.NBW,BOA,3:1,BO5
2024-02-2120:00,20:00,武汉eStarPro,深圳DYG,1:3,BO5
2024-02-2214:00,14:00,XYG,西安WE,1:3,BO5
2024-02-2217:00,17:00,佛山DRG,长沙TES.A,0:3,BO5
2024-02-2220:00,20:00,上海EDG.M,北京WB,0:3,BO5
2024-02-2314:00,14:00,苏州KSG,厦门VG,2:3,BO5
2024-02-2317:00,17:00,广州TTG,上海RNG.M,3:0,BO5
2024-02-2414:00,14:00,西安WE,长沙TES.A,0:3,BO5
2024-02-2417:00,17:00,南通Hero久竞,成都AG超玩会,0:3,BO5
2024-02-2420:00,20:00,杭州LGD.NBW,武汉eStarPro,3:1,BO5
2024-02-2514:00,14:00,重庆狼队,BOA,3:1,BO5
2024-02-2517:00,17:00,南通Hero久竞,广州TTG,1:3,BO5
2024-02-2520:00,20:00,佛山DRG,北京WB,1:3,BO5
2024-02-2615:00,15:00,重庆狼队,济南RW侠,3:1,BO5
2024-02-2814:00,14:00,XYG,长沙TES.A,0:3,BO5
2024-02-2817:00,17:00,佛山DRG,上海EDG.M,3:1,BO5
2024-02-2820:00,20:00,深圳DYG,济南RW侠,2:3,BO5
2024-02-2914:00,14:00,南通Hero久竞,上海RNG.M,3:0,BO5
2024-02-2917:00,17:00,BOA,武汉eStarPro,1:3,BO5
2024-02-2920:00,20:00,成都AG超玩会,苏州KSG,1:3,BO5
2024-03-0114:00,14:00,上海EDG.M,XYG,3:2,BO5
2024-03-0117:00,17:00,佛山DRG,西安WE,3:2,BO5
2024-03-0120:00,20:00,重庆狼队,深圳DYG,3:1,BO5
2024-03-0214:00,14:00,厦门VG,广州TTG,3:1,BO5
2024-03-0217:00,17:00,成都AG超玩会,上海RNG.M,3:0,BO5
2024-03-0220:00,20:00,济南RW侠,武汉eStarPro,3:2,BO5
2024-03-0314:00,14:00,苏州KSG,南通Hero久竞,3:0,BO5
2024-03-0317:00,17:00,长沙TES.A,北京WB,0:3,BO5
2024-03-0320:00,20:00,重庆狼队,杭州LGD.NBW,2:3,BO5
2024-03-0814:00,14:00,西安WE,上海RNG.M,2:3,BO5
2024-03-0817:00,17:00,XYG,武汉eStarPro,0:3,BO5
2024-03-0820:00,20:00,苏州KSG,广州TTG,3:2,BO5
2024-03-0914:00,14:00,佛山DRG,BOA,3:1,BO5
2024-03-0917:00,17:00,厦门VG,北京WB,0:3,BO5
2024-03-0920:00,20:00,杭州LGD.NBW,长沙TES.A,1:3,BO5
2024-03-1014:00,14:00,广州TTG,上海EDG.M,3:2,BO5
2024-03-1017:00,17:00,南通Hero久竞,深圳DYG,0:3,BO5
