date,time,home_team,away_team,score,format
2024-03-1020:00,20:00,成都AG超玩会,重庆狼队,3:1,BO5
2024-03-1317:00,17:00,西安WE,XYG,3:1,BO5
2024-03-1320:00,20:00,上海RNG.M,武汉eStarPro,1:3,BO5
2024-03-1417:00,17:00,苏州KSG,BOA,3:0,BO5
2024-03-1420:00,20:00,重庆狼队,厦门VG,3:1,BO5
2024-03-1517:00,17:00,南通Hero久竞,西安WE,0:3,BO5
2024-03-1520:00,20:00,成都AG超玩会,长沙TES.A,3:0,BO5
2024-03-1614:00,14:00,深圳DYG,武汉eStarPro,2:3,BO5
2024-03-1617:00,17:00,佛山DRG,上海EDG.M,3:1,BO5
2024-03-1620:00,20:00,济南RW侠,广州TTG,3:1,BO5
2024-03-1714:00,14:00,南通Hero久竞,XYG,3:1,BO5
2024-03-1717:00,17:00,成都AG超玩会,厦门VG,3:0,BO5
2024-03-1720:00,20:00,北京WB,长沙TES.A,3:1,BO5
2024-03-2017:00,17:00,厦门VG,长沙TES.A,2:3,BO5
2024-03-2020:00,20:00,西安WE,武汉eStarPro,2:3,BO5
2024-03-2117:00,17:00,BOA,上海EDG.M,3:0,BO5
2024-03-2120:00,20:00,佛山DRG,济南RW侠,1:3,BO5
2024-03-2217:00,17:00,重庆狼队,长沙TES.A,3:2,BO5
2024-03-2220:00,20:00,杭州LGD.NBW,北京WB,2:3,BO5
2024-03-2314:00,14:00,南通Hero久竞,上海RNG.M,3:2,BO5
2024-03-2317:00,17:00,苏州KSG,济南RW侠,3:0,BO5
2024-03-2320:00,20:00,佛山DRG,广州TTG,3:1,BO5
2024-03-2414:00,14:00,深圳DYG,XYG,2:3,BO5
2024-03-2417:00,17:00,杭州LGD.NBW,重庆狼队,0:3,BO5
2024-03-2420:00,20:00,成都AG超玩会,北京WB,3:0,BO5
2024-03-2717:00,17:00,BOA,广州TTG,0:3,BO5
2024-03-2720:00,20:00,济南RW侠,上海EDG.M,3:1,BO5
2024-03-2817:00,17:00,上海RNG.M,深圳DYG,1:3,BO5
2024-03-2820:00,20:00,杭州LGD.NBW,厦门VG,3:1,BO5
2024-03-2917:00,17:00,BOA,济南RW侠,3:1,BO5
2024-03-2920:00,20:00,苏州KSG,上海EDG.M,3:0,BO5
2024-03-3014:00,14:00,XYG,上海RNG.M,0:3,BO5
2024-03-3017:00,17:00,成都AG超玩会,杭州LGD.NBW,3:0,BO5
2024-03-3020:00,20:00,重庆狼队,北京WB,1:3,BO5
2024-03-3114:00,14:00,深圳DYG,西安WE,3:1,BO5
2024-03-3117:00,17:00,南通Hero久竞,武汉eStarPro,1:3,BO5
2024-03-3120:00,20:00,佛山DRG,苏州KSG,3:1,BO5
2024-04-0419:00,19:00,上海EDG.M,武汉eStarPro,1:4,BO7
2024-04-0519:00,19:00,厦门VG,苏州KSG,2:4,BO7
2024-04-0619:00,19:00,BOA,深圳DYG,4:3,BO7
2024-04-0719:00,19:00,杭州LGD.NBW,佛山DRG,1:4,BO7
2024-04-1117:00,17:00,苏州KSG,北京WB,1:3,BO5
2024-04-1120:00,20:00,重庆狼队,长沙TES.A,3:1,BO5
2024-04-1217:00,17:00,济南RW侠,厦门VG,1:3,BO5
2024-04-1220:00,20:00,杭州LGD.NBW,广州TTG,1:3,BO5
2024-04-1314:00,14:00,武汉eStarPro,BOA,3:2,BO5
2024-04-1317:00,17:00,佛山DRG,长沙TES.A,3:2,BO5
2024-04-1320:00,20:00,苏州KSG,成都AG超玩会,3:1,BO5
2024-04-1414:00,14:00,广州TTG,厦门VG,3:1,BO5
2024-04-1417:00,17:00,重庆狼队,北京WB,3:0,BO5
2024-04-1420:00,20:00,杭州LGD.NBW,济南RW侠,3:1,BO5
2024-04-1817:00,17:00,BOA,厦门VG,3:1,BO5
2024-04-1820:00,20:00,杭州LGD.NBW,武汉eStarPro,2:3,BO5
2024-04-1917:00,17:00,佛山DRG,重庆狼队,1:3,BO5
2024-04-1920:00,20:00,成都AG超玩会,北京WB,3:0,BO5
2024-04-2014:00,14:00,武汉eStarPro,厦门VG,3:2,BO5
2024-04-2017:00,17:00,杭州LGD.NBW,BOA,1:3,BO5
2024-04-2020:00,20:00,广州TTG,济南RW侠,0:3,BO5
2024-04-2114:00,14:00,苏州KSG,重庆狼队,3:2,BO5
2024-04-2117:00,17:00,佛山DRG,北京WB,3:0,BO5
2024-04-2120:00,20:00,成都AG超玩会,长沙TES.A,3:0,BO5
2024-04-2517:00,17:00,苏州KSG,长沙TES.A,3:1,BO5
2024-04-2520:00,20:00,佛山DRG,成都AG超玩会,1:3,BO5
2024-04-2617:00,17:00,BOA,济南RW侠,1:3,BO5
2024-04-2620:00,20:00,武汉eStarPro,广州TTG,2:3,BO5
2024-04-2714:00,14:00,苏州KSG,佛山DRG,3:0,BO5
2024-04-2717:00,17:00,北京WB,长沙TES.A,3:0,BO5
2024-04-2720:00,20:00,杭州LGD.NBW,厦门VG,3:0,BO5
2024-04-2814:00,14:00,广州TTG,BOA,3:2,BO5
2024-04-2817:00,17:00,武汉eStarPro,济南RW侠,1:3,BO5
2024-04-2820:00,20:00,重庆狼队,成都AG超玩会,1:3,BO5
2024-05-0219:00,19:00,广州TTG,BOA,4:0,BO7
2024-05-0319:00,19:00,成都AG超玩会,佛山DRG,4:1,BO7
2024-05-0419:00,19:00,济南RW侠,武汉eStarPro,2:4,BO7
2024-05-0519:00,19:00,苏州KSG,重庆狼队,0:4,BO7
2024-05-0619:00,19:00,北京WB,广州TTG,2:4,BO7
2024-05-0719:00,19:00,长沙TES.A,武汉eStarPro,3:4,BO7
2024-05-0819:00,19:00,佛山DRG,广州TTG,2:4,BO7
2024-05-0919:00,19:00,苏州KSG,武汉eStarPro,4:2,BO7
2024-05-1019:00,19:00,成都AG超玩会,重庆狼队,4:1,BO7
2024-05-1119:00,19:00,广州TTG,苏州KSG,1:4,BO7
2024-05-1219:00,19:00,重庆狼队,苏州KSG,4:0,BO7
2024-05-1817:00,17:00,成都AG超玩会,重庆狼队,3:4,BO7
