date,time,home_team,away_team,score,format
2024-07-2114:00,14:00,南通Hero久竞,九江TKL,3:0,BO5
2024-07-2117:00,17:00,济南RW侠,上海RNG.M,3:2,BO5
2024-07-2120:00,20:00,成都AG超玩会,广州TTG,3:2,BO5
2024-07-2314:00,14:00,上海RNG.M,上海EDG.M,0:4,BO7
2024-07-2319:00,19:00,TCG,济南RW侠,0:4,BO7
2024-07-2414:00,14:00,西安WE,长沙TES.A,4:0,BO7
2024-07-2419:00,19:00,武汉eStarPro,重庆狼队,1:4,BO7
2024-08-1014:00,14:00,上海EDG.M,西安WE,3:1,BO5
2024-08-1017:00,17:00,TCG,北京WB,2:3,BO5
2024-08-1020:00,20:00,佛山DRG,苏州KSG,2:3,BO5
2024-08-1114:00,14:00,杭州LGD.NBW,武汉eStarPro,3:1,BO5
2024-08-1117:00,17:00,重庆狼队,济南RW侠,1:3,BO5
2024-08-1120:00,20:00,成都AG超玩会,广州TTG,3:0,BO5
2024-08-1417:00,17:00,杭州LGD.NBW,TCG,3:1,BO5
2024-08-1420:00,20:00,上海EDG.M,北京WB,1:3,BO5
2024-08-1517:00,17:00,武汉eStarPro,西安WE,2:3,BO5
2024-08-1520:00,20:00,苏州KSG,成都AG超玩会,3:2,BO5
2024-08-1617:00,17:00,广州TTG,济南RW侠,2:3,BO5
2024-08-1620:00,20:00,重庆狼队,佛山DRG,1:3,BO5
2024-08-1714:00,14:00,上海EDG.M,TCG,3:0,BO5
2024-08-1717:00,17:00,杭州LGD.NBW,西安WE,3:1,BO5
2024-08-1720:00,20:00,武汉eStarPro,北京WB,3:0,BO5
2024-08-1814:00,14:00,苏州KSG,济南RW侠,0:3,BO5
2024-08-1817:00,17:00,重庆狼队,广州TTG,3:2,BO5
2024-08-1820:00,20:00,佛山DRG,成都AG超玩会,0:3,BO5
2024-08-2117:00,17:00,西安WE,TCG,3:2,BO5
2024-08-2120:00,20:00,苏州KSG,重庆狼队,0:3,BO5
2024-08-2217:00,17:00,武汉eStarPro,上海EDG.M,3:1,BO5
2024-08-2220:00,20:00,杭州LGD.NBW,北京WB,3:2,BO5
2024-08-2317:00,17:00,佛山DRG,广州TTG,3:1,BO5
2024-08-2320:00,20:00,成都AG超玩会,济南RW侠,3:1,BO5
2024-08-2414:00,14:00,武汉eStarPro,TCG,3:0,BO5
2024-08-2417:00,17:00,杭州LGD.NBW,上海EDG.M,1:3,BO5
2024-08-2420:00,20:00,西安WE,北京WB,0:3,BO5
2024-08-2514:00,14:00,佛山DRG,济南RW侠,0:3,BO5
2024-08-2517:00,17:00,苏州KSG,广州TTG,3:1,BO5
2024-08-2520:00,20:00,成都AG超玩会,重庆狼队,2:3,BO5
2024-08-2919:00,19:00,杭州LGD.NBW,北京WB,0:4,BO7
2024-08-3019:00,19:00,济南RW侠,苏州KSG,1:4,BO7
2024-08-3119:00,19:00,武汉eStarPro,上海EDG.M,4:2,BO7
2024-09-0119:00,19:00,成都AG超玩会,重庆狼队,4:3,BO7
2024-09-0219:00,19:00,佛山DRG,北京WB,2:4,BO7
2024-09-0319:00,19:00,广州TTG,武汉eStarPro,1:4,BO7
2024-09-0419:00,19:00,济南RW侠,北京WB,4:3,BO7
2024-09-0519:00,19:00,重庆狼队,武汉eStarPro,4:2,BO7
2024-09-0619:00,19:00,苏州KSG,成都AG超玩会,4:3,BO7
2024-09-0719:00,19:00,济南RW侠,重庆狼队,4:2,BO7
2024-09-0819:00,19:00,成都AG超玩会,济南RW侠,4:1,BO7
2024-09-1518:00,18:00,苏州KSG,成都AG超玩会,1:4,BO7
